0,1,2,3,4,5,6,7,8,9,10,11,12,y
-0.409837,-0.487722,-1.034027,-0.272599,-0.386091,0.187151,0.552081,-0.546077,-0.523001,-0.666608,-0.857929,0.425702,9.04,1.067194
-0.413949,1.22906,-0.689681,3.668398,-0.930305,0.674384,-1.26862,0.134319,-0.637962,-0.916058,-0.395567,0.441052,3.53,9.867194
-0.408212,-0.487722,2.422565,-0.272599,0.469104,-0.429726,1.074822,-0.916009,-0.637962,1.798194,0.76034,0.366604,18.07,-8.932806
-0.409853,-0.487722,-0.04768,-0.272599,-1.224009,-0.312904,-2.16119,0.709373,-0.637962,-0.613155,0.344213,0.375375,5.52,0.267194
0.171842,-0.487722,1.015999,-0.272599,1.36749,0.017617,0.825898,-0.678277,1.661245,1.530926,0.806576,0.311563,17.27,-6.432806
-0.408702,-0.487722,0.247057,-0.272599,-1.016689,-0.008027,0.2107,0.122245,-0.523001,-0.060801,0.113032,0.18624,11.97,-2.532806
-0.383479,-0.487722,-0.180458,-0.272599,-0.092387,-0.528027,0.520077,0.096765,-0.637962,-0.619094,-0.025677,0.373073,18.33,-4.732806
-0.386664,-0.487722,1.568995,-0.272599,0.598679,-0.157616,0.889907,-1.037799,-0.637962,0.170831,1.268938,0.344346,24.16,-8.532806
0.049445,-0.487722,1.015999,-0.272599,-0.196047,-0.07926,0.786781,-0.330735,1.661245,1.530926,0.806576,0.423838,12.87,-2.932806
-0.394406,-0.487722,-0.211099,-0.272599,0.261784,-0.367041,0.395615,-0.616479,-0.408041,-0.102376,0.344213,0.441052,14.33,-5.732806
-0.407636,-0.487722,0.401721,3.668398,-0.040557,-0.475315,0.897019,-0.430562,-0.523001,-0.785394,-0.950402,0.441052,17.92,-1.032806
-0.400729,0.048772,-0.476654,-0.272599,-0.265154,-0.399808,0.61609,1.329635,-0.523001,-0.577519,-1.505237,0.329325,17.1,-3.632806
4.903104,-0.487722,1.015999,-0.272599,1.194724,-2.515426,1.117494,-1.015789,1.661245,1.530926,0.806576,-2.942878,36.98,-15.532806
-0.413947,-0.487722,0.247057,-0.272599,-1.016689,-0.074986,-0.52896,0.579502,-0.523001,-0.060801,0.113032,0.325926,12.34,-1.332806
-0.387477,-0.487722,-0.548149,-0.272599,-0.532942,-0.821507,0.203588,0.440219,-0.523001,-0.720062,0.529158,0.377788,11.74,-4.032806
0.120256,-0.487722,1.015999,-0.272599,0.512296,0.990659,-0.034668,-0.599984,1.661245,1.530926,0.806576,0.197424,11.66,7.267194
-0.409056,-0.487722,2.117615,-0.272599,0.227231,-0.577891,0.96814,-0.850313,-0.867883,-1.308051,0.297977,0.248956,17.58,-3.732806
1.247542,-0.487722,1.015999,-0.272599,1.255192,-2.001125,1.117494,-1.048447,1.661245,1.530926,0.806576,0.178127,30.62,-12.332806
-0.41891,2.945843,-1.557842,-0.272599,-1.146264,2.265728,-1.300624,0.881029,-0.637962,-0.910119,-1.875127,0.411777,2.97,27.467194
0.665139,-0.487722,1.015999,-0.272599,1.36749,-0.141945,1.071266,-0.728951,1.661245,1.530926,0.806576,0.441052,18.13,-8.432806
-0.401652,0.370669,-0.609431,-0.272599,-0.783454,-0.063589,-1.858925,0.301364,-0.752922,-1.100176,0.066796,0.441052,6.59,2.667194
-0.411233,1.22906,-0.689681,-0.272599,-0.930305,0.281179,-1.297068,0.164125,-0.637962,-0.916058,-0.395567,0.441052,7.19,6.567194
-0.288921,-0.487722,-0.437258,-0.272599,-0.144217,-0.814384,0.907687,0.208191,-0.637962,-0.601276,1.176466,0.038331,22.6,-9.832806
-0.413229,-0.487722,0.115738,-0.272599,0.158124,0.439316,0.018673,-0.625796,-0.982843,-0.803212,1.176466,0.387217,9.67,-0.132806
0.396724,-0.487722,1.015999,-0.272599,1.410682,-0.396959,0.95036,-0.912919,1.661245,1.530926,0.806576,-0.402327,15.7,-8.332806
0.516961,-0.487722,1.015999,-0.272599,0.253146,-1.221836,0.953916,-0.648994,1.661245,1.530926,0.806576,-0.044888,18.14,-8.732806
-0.410757,-0.487722,0.247057,-0.272599,-1.016689,-0.585014,-1.137046,0.336351,-0.523001,-0.060801,0.113032,0.431842,9.1,-2.232806
0.686614,-0.487722,1.015999,-0.272599,1.36749,0.631645,0.907687,-0.617477,1.661245,1.530926,0.806576,-3.83746,18.71,-7.632806
-0.400215,-0.487722,-0.07978,3.668398,-0.567496,-0.462493,0.836566,0.039008,-0.637962,-0.779455,0.066796,0.401032,17.27,-0.832806
-0.389285,-0.487722,-0.211099,-0.272599,0.261784,-0.698987,0.072014,-0.428946,-0.408041,-0.102376,0.344213,0.441052,14.1,-4.232806
-0.404325,-0.487722,-1.034027,-0.272599,-0.386091,-1.015261,0.708548,-0.56994,-0.523001,-0.666608,-0.857929,0.441052,14.69,0.567194
-0.401013,-0.487722,-0.548149,-0.272599,-0.532942,0.201398,-0.578745,0.35432,-0.523001,-0.720062,0.529158,0.441052,7.2,1.267194
1.861457,-0.487722,1.015999,-0.272599,1.00468,1.46507,1.042817,-1.178318,1.661245,1.530926,0.806576,0.441052,13.44,-7.532806
0.007529,-0.487722,1.015999,-0.272599,1.859875,-1.314439,0.982364,-0.80406,1.661245,1.530926,0.806576,0.264416,10.19,-1.732806
0.094118,-0.487722,1.015999,-0.272599,0.253146,-0.401233,0.921911,-0.596466,1.661245,1.530926,0.806576,-0.27832,21.32,-3.432806
-0.17041,-0.487722,1.231945,-0.272599,2.732346,-0.820083,1.064154,-1.032427,-0.523001,-0.031105,-1.736418,-1.038588,15.79,-3.132806
-0.417342,-0.487722,-0.593381,-0.272599,-0.740262,1.282714,-0.265812,0.55716,-0.867883,-0.987329,-0.303094,0.396427,4.03,12.167194
-0.416529,-0.487722,-0.867691,-0.272599,-0.342899,-0.592137,-0.792108,0.682657,-0.523001,-1.094237,0.806576,0.441052,9.8,-3.032806
-0.404706,-0.487722,-0.07978,3.668398,-0.567496,-0.314329,-0.336933,0.211139,-0.637962,-0.779455,0.066796,0.270227,14.66,1.867194
-0.397779,-0.487722,-0.04768,-0.272599,-1.224009,-0.056465,-2.218087,0.709373,-0.637962,-0.613155,0.344213,0.224725,7.54,0.867194
-0.386816,-0.487722,-0.211099,-0.272599,0.261784,-1.274549,0.153803,-0.473678,-0.408041,-0.102376,0.344213,0.441052,21.14,-2.832806
-0.414778,0.928623,-1.306878,-0.272599,-0.714347,0.804028,0.061346,-0.291089,-0.293081,-1.106115,-0.025677,0.441052,7.53,5.667194
-0.418179,3.589637,-1.233923,-0.272599,-1.19723,2.492249,-1.30418,0.628893,-0.637962,-1.094237,-1.736418,0.371428,2.88,27.467194
-0.404744,0.048772,-0.73929,-0.272599,-1.258562,-0.983918,-1.129934,1.284902,-0.637962,-0.375583,0.205505,0.441052,13.09,-5.132806
-0.415066,-0.487722,-1.127409,-0.272599,-0.567496,0.188576,-0.088009,-0.334062,-0.867883,-0.82103,-0.303094,0.3893,8.81,0.067194
0.38969,-0.487722,1.015999,-0.272599,1.255192,-0.814384,1.010813,-0.888248,1.661245,1.530926,0.806576,0.41397,17.11,-7.432806
-0.286488,-0.487722,-0.437258,-0.272599,-0.144217,-0.83148,0.939692,-0.003728,-0.637962,-0.601276,1.176466,0.022981,18.35,-9.432806
-0.410246,-0.487722,-0.04768,-0.272599,-1.224009,0.188576,-2.203863,0.709373,-0.637962,-0.613155,0.344213,0.296651,6.72,1.667194
0.085565,-0.487722,1.015999,-0.272599,0.218592,-0.167589,0.548525,-0.362061,1.661245,1.530926,0.806576,0.441052,16.29,-2.632806
-0.419782,0.28483,-1.287909,-0.272599,-0.144217,0.413672,-0.120013,0.140214,-0.982843,-0.666608,-1.459,0.441052,4.98,1.467194
-0.406847,0.048772,-0.476654,-0.272599,-0.265154,-0.392685,0.509409,1.155935,-0.523001,-0.577519,-1.505237,0.441052,13.27,-3.632806
-0.416206,0.370669,-1.139082,-0.272599,-0.965723,0.973563,-1.115709,0.689122,-0.523001,-1.141751,-1.643945,0.389848,4.59,12.867194
-0.277091,-0.487722,-0.437258,-0.272599,-0.144217,-0.203205,0.822342,0.086449,-0.637962,-0.601276,1.176466,0.441052,18.72,-7.332806
-0.407214,-0.487722,-0.375976,-0.272599,-0.299707,0.707152,0.096906,-0.446344,-0.523001,-0.143951,1.13023,0.426579,7.67,3.967194
-0.357618,0.370669,-1.0457,-0.272599,0.175401,1.688741,-0.568077,-0.438786,-0.523001,-0.856665,-2.522434,0.368687,3.16,20.967194
0.006999,-0.487722,1.015999,-0.272599,0.244507,0.038987,-0.592969,0.093485,1.661245,1.530926,0.806576,0.350267,10.58,-1.332806
0.238896,-0.487722,1.015999,-0.272599,1.600725,-0.093507,1.117494,-0.851026,1.661245,1.530926,0.806576,0.427785,16.59,-4.132806
-0.416442,2.945843,-0.902709,-0.272599,-1.241285,0.821124,-1.446423,0.628275,-0.637962,-0.969512,0.344213,0.441052,3.33,5.967194
-0.41463,-0.487722,-0.969827,-0.272599,-0.913029,0.148685,-0.731655,0.467933,-0.752922,-0.957633,0.02056,0.441052,9.62,1.367194
-0.398252,0.456508,-0.769931,-0.272599,-1.068519,-0.968247,0.057789,1.977468,-0.293081,-0.464673,0.297977,0.355859,18.46,-4.032806
-0.405796,0.585267,-0.876445,-0.272599,-0.878475,0.680083,-0.895234,1.989827,-0.17812,-0.73788,0.575395,0.426579,9.5,2.467194
-0.418992,3.375039,-1.446951,-0.272599,-1.310392,1.373892,-1.659786,2.330049,-0.523001,-1.082358,-0.256858,0.430417,4.81,12.867194
-0.369106,-0.487722,-0.720322,-0.272599,-0.437921,0.380905,-1.677566,-0.199628,-0.17812,-0.601276,-0.488039,0.259482,3.76,8.967194
-0.327103,-0.487722,-0.437258,-0.272599,-0.144217,-1.180521,-1.137046,0.000693,-0.637962,-0.601276,1.176466,-0.742112,11.69,-2.332806
-0.411266,2.087452,-1.378373,-0.272599,-1.241285,0.419371,-1.161938,3.2873,-0.637962,0.016409,-0.071913,0.154663,5.49,1.567194
-0.369812,-0.487722,-0.07978,3.668398,-0.567496,-1.340083,1.117494,0.038009,-0.637962,-0.779455,0.066796,0.441052,23.09,-2.532806
0.593879,-0.487722,1.015999,-0.272599,1.194724,0.265507,1.074822,-0.983702,1.661245,1.530926,0.806576,0.387107,17.12,-9.432806
-0.416259,0.585267,-0.915841,-0.272599,-1.11171,0.02474,-1.293512,0.76328,-0.637962,-0.755697,0.251741,0.441052,6.72,2.267194
-0.417302,2.731245,-1.194528,-0.272599,-1.094434,0.442165,-1.663342,0.76347,-0.752922,-0.927937,-0.071913,0.427127,4.32,8.267194
0.122809,-0.487722,1.015999,-0.272599,1.36749,-0.439699,0.687212,-0.577309,1.661245,1.530926,0.806576,-3.795795,19.01,-9.832806
-0.398597,-0.487722,-0.616727,-0.272599,-0.921667,-0.710384,-1.254396,0.620527,-0.752922,-1.040783,-0.256858,0.441052,14.15,-2.532806
0.243762,-0.487722,1.015999,-0.272599,-0.196047,0.662987,0.224924,-0.220259,1.661245,1.530926,0.806576,0.399058,7.74,1.167194
