0,1,2,3,4,5,6,7,y
2.477918,-0.856886,-0.847132,-0.916663,-0.620225,0.863160,-1.217658,28.000000,44.168275
2.477918,-0.856886,-0.847132,-0.916663,-0.620225,1.056170,-1.217658,28.000000,26.069530
0.491443,0.795533,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,270.000000,4.451699
0.491443,0.795533,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,365.000000,5.234944
-0.790432,0.678414,-0.847132,0.488805,-1.038944,0.070531,0.647908,360.000000,8.478239
-0.145186,0.465049,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,90.000000,11.212012
0.946178,0.244726,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,365.000000,7.880464
0.946178,0.244726,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,28.000000,0.629934
-0.145186,0.465049,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,28.000000,10.036455
1.855649,-0.856886,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,28.000000,3.471954
-0.790432,0.678414,-0.847132,0.488805,-1.038944,0.070531,0.647908,90.000000,2.256408
-0.790432,0.678414,-0.847132,0.488805,-1.038944,0.070531,0.647908,28.000000,-7.796152
1.400913,-0.306080,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,270.000000,7.195124
-0.872763,1.346339,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,90.000000,6.509096
0.218602,0.024404,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,28.000000,11.995946
0.946178,-0.856886,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,90.000000,17.090484
-1.355261,1.571300,-0.847132,0.488805,-1.038944,0.953232,0.415805,90.000000,3.540212
0.582390,-0.416241,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,365.000000,20.324126
0.946178,0.244726,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,90.000000,4.745416
1.855649,-0.856886,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,180.000000,6.802813
1.400913,-0.306080,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,180.000000,6.018878
-1.355261,1.571300,-0.847132,0.488805,-1.038944,0.953232,0.415805,28.000000,-7.580346
-1.355261,1.571300,-0.847132,0.488805,-1.038944,0.953232,0.415805,3.000000,-27.754414
-1.355261,1.571300,-0.847132,0.488805,-1.038944,0.953232,0.415805,180.000000,8.389986
0.946178,-0.856886,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,365.000000,16.698862
0.946178,-0.856886,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,270.000000,17.482796
0.946178,0.244726,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,270.000000,5.333539
0.582390,-0.416241,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,180.000000,16.306550
1.400913,-0.306080,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,28.000000,1.609679
1.855649,-0.856886,-0.847132,2.175367,-1.038944,-0.526514,-2.240913,7.000000,2.785925
0.218602,0.024404,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,365.000000,19.442287
-0.145186,0.465049,-0.847132,2.175367,-1.038944,-0.526514,-1.292531,365.000000,17.090484
