x1,x2,y
0.554809676,0.557992709,39.37547404
0.943652852,-0.730895583,13.24237549
0.001482372,0.072136072,1.01532752
-0.712204995,0.02844574,13.01981539
-0.972127425,0.715144288,13.78200556
-0.54068794,-0.074401269,21.04578965
-0.736355564,-0.229821008,20.18680334
0.355317347,0.279126542,28.16885203
-0.756334991,-0.467073365,30.179023
0.012659863,-0.720463178,12.39606563
0.388524871,-0.044245452,18.18257611
0.162233218,-0.166221263,9.790461962
-0.600448697,-0.534860119,38.4812618
0.608249052,-0.26497638,29.15457611
0.430814259,-0.2672151,30.40648901
0.477968008,-0.345008871,35.8731164
-0.737884497,-0.241071841,20.80241505
-0.752492393,0.371486691,27.46091741
0.855125102,-0.406247051,23.07558921
-0.204843612,0.897715853,10.04352657
-0.398102616,0.832696039,23.90610932
-0.022831909,-0.038179143,0.391053151
0.325728426,-0.34327759,30.33557358
0.911246514,0.07086958,3.32553431
-0.427107546,0.697120978,32.8994944
0.849616859,0.305174681,18.35432457
-0.950281017,0.608783656,19.51126712
0.110396085,0.065444552,3.160807781
0.267950223,0.265835259,22.26123979
-0.788205192,-0.423688772,27.29562512
-0.719320806,0.469786325,32.47418465
-0.161771361,-0.595190814,23.38051688
0.932463824,0.389596258,19.59711442
0.192085106,0.721438137,18.78322523
0.866046443,-0.735794325,15.52051878
0.608721831,0.228759481,26.84832494
-0.065236797,-0.809808504,7.818362749
0.569526899,0.451431257,39.12700791
-0.964326432,-0.831013562,6.997415526
-0.781712006,0.871879645,12.46079785
0.65885723,-0.72518414,27.93165514
0.593634177,0.917760492,20.81901011
-0.534718516,0.601768352,38.43542329
0.061539181,0.187364009,6.942435825
0.212031641,0.565248209,27.17274612
0.735477908,0.590229678,30.23602111
0.206214315,0.892054126,10.33496526
-0.174856861,-0.493233292,25.71690054
-0.251631913,0.180151791,15.94914624
-0.148235827,-0.809901605,11.03525177
0.303862051,0.2323314,22.35845881
0.734981264,-0.657417392,27.40921587
-0.092206236,0.129901223,4.807189252
-0.504320874,0.144861028,24.13567146
-0.526675274,-0.068029694,21.04159861
0.49202856,0.045263551,20.6332967
0.633137527,0.52784678,37.22725292
-0.78944384,0.598489433,26.67396655
-0.866882286,-0.015693569,4.098939257
0.188867328,0.199186883,13.18930574
-0.707653512,0.862472471,17.38089284
0.649328381,-0.760532823,26.25066357
-0.379330652,-0.765792868,27.00049525
-0.712256134,-0.824581976,19.02010742
0.841940945,0.31572657,19.36104689
-0.668936555,-0.162783398,20.14016171
-0.430559835,0.548642832,39.08615222
-0.69277321,0.342462827,29.60417652
-0.769019873,-0.332724483,24.47671935
-0.957703967,0.796733095,9.008719172
-0.889209182,0.525064294,23.26927138
-0.650717058,-0.458930118,36.1442883
-0.893236135,-0.271615964,14.39250578
0.182287632,-0.37112004,22.94025935
0.361429054,-0.684776703,31.02706782
-0.212739086,-0.704433255,21.04572931
-0.364017806,0.872254927,20.51197727
0.009052474,-0.124191926,2.924798652
0.750009884,-0.233360354,19.57275469
0.702263254,0.459371417,33.33474748
-0.913049876,0.105986131,4.437067512
-0.637003181,0.872279974,20.73563763
-0.526510258,0.560602988,39.73683437
-0.501224848,-0.041260872,20.58680674
0.142465303,-0.247281053,13.65648833
-0.167475149,0.97326309,6.160122638
-0.90149176,0.435520472,22.04794334
-0.252771723,0.90238932,12.87484725
0.047505897,-0.763042846,10.20808083
-0.796656194,0.701067358,21.26278767
0.666917108,0.274147768,27.01773617
-0.896076267,-0.756156643,13.04517243
0.849683738,0.176516,10.43652646
-0.801773717,0.37219273,24.53065193
0.687149903,-0.975394628,15.38998564
0.805306288,-0.091364076,8.854340424
0.959141361,0.650799022,17.50838027
0.604051761,-0.409281949,36.88933549
0.558955082,-0.082903836,20.9673215
0.284966552,-0.115371746,14.78825429
0.064179242,0.901148593,3.485904507
0.495677221,0.212966593,27.98142559
-0.784942979,-0.662204882,24.11750201
0.574077602,0.800388429,26.79304169
0.052074948,0.488395014,20.7451987
0.12904517,0.499831592,23.37739754
0.58849393,-0.730120953,30.61879922
0.248521167,-0.319283823,24.28782231
-0.253269291,0.72363222,22.44235802
-0.717030895,-0.221453875,20.83589694
0.236761504,0.302799636,22.57388332
0.293777622,-0.537421135,32.81605637
-0.952714158,-0.963855027,2.531580876
-0.828901621,0.346864498,21.76778535
-0.98114295,0.272099346,12.490873
0.206597868,0.330176162,22.28557075
-0.751381443,0.77148509,19.72711419
0.590027586,0.811615492,25.67377202
0.526551439,0.574842338,39.38342351
-0.446208893,0.296372169,32.59380332
-0.639517867,-0.661061161,32.54539091
0.434839387,0.146204719,23.31490986
0.133072774,0.75503927,13.56775544
0.238668181,-0.358490989,25.77497958
0.19689553,0.421962617,25.76354369
0.597066181,0.768107735,28.00832805
0.848032096,-0.962823846,6.140385818
0.903402095,0.956073176,3.894723534
-0.525100018,0.929551434,21.97945993
0.318236657,-0.944275377,15.756927
-0.579914995,-0.122810362,21.9493438
-0.701210503,-0.384022133,31.11725237
0.404352094,-0.458999203,38.29203835
0.154866054,0.090368159,5.973495448
-0.320539437,0.727496833,26.32964294
-0.815332383,-0.571188197,26.01661744
0.089992178,-0.809866353,8.54700291
-0.65021829,0.268071058,27.49439671
0.872963544,0.618562063,21.51590582
0.347699785,0.94635452,17.33950454
-0.792635272,0.408699854,26.54760454
-0.136151217,-0.359540564,19.94108912
0.600944861,0.15306561,22.71875551
-0.899468361,0.281415625,14.77885628
0.986292106,-0.844013038,6.152761866
-0.402007419,0.616336425,36.15045881
-0.139190647,0.424735174,22.68893242
-0.569144753,0.38952287,37.23266211
-0.192379258,-0.939927892,8.082534043
-0.261534524,0.809431234,17.79968545
0.783066947,0.935704151,10.23096646
-0.473185034,-0.615630396,37.93616506
