y_0,y_1,u_0,u_1,y
-0.169582336786184,-0.17437236843282,0.446552320265226,0.45672305055561,0.00610360875867855
-0.166764671111693,-0.169582336786184,0.430852167344965,0.446552320265226,-0.00732433051041426
-0.170145869921083,-0.166764671111693,0.409731189497215,0.430852167344965,-0.0140383001449607
-0.176626500972413,-0.170145869921083,0.383578451654845,0.409731189497215,0.0308232242313267
-0.162397289316231,-0.176626500972413,0.353120249882607,0.383578451654845,-0.0146486610208285
-0.169159686935011,-0.162397289316231,0.319444436918844,0.353120249882607,-0.00823987182421604
-0.172963535595574,-0.169159686935011,0.283986414138258,0.319444436918844,-0.00396734569314106
-0.174795018283993,-0.172963535595574,0.248475153456443,0.283986414138258,0.0137331197070267
-0.168455270516388,-0.174795018283993,0.214842024778539,0.248475153456443,-0.0103761348897535
-0.173245302163023,-0.168455270516388,0.185099275271749,0.214842024778539,-0.0149538414587624
-0.180148583065527,-0.173245302163023,0.161198307731628,0.185099275271749,0.00427252613107498
-0.178176217093383,-0.180148583065527,0.144880118560984,0.161198307731628,0.0366216525520713
-0.161270223046435,-0.178176217093383,0.137531200696219,0.144880118560984,-0.0259403372243838
-0.173245302163023,-0.161270223046435,0.14005785853472,0.137531200696219,0.0283817807278552
-0.160143156776638,-0.173245302163023,0.152790322759286,0.14005785853472,0.0186160067139696
-0.151549276469439,-0.160143156776638,0.175425507953111,0.152790322759286,0.0244144350347142
-0.140278613771474,-0.151549276469439,0.20701401840023,0.175425507953111,-0.0173952849622339
-0.148308960943774,-0.140278613771474,0.245993409647177,0.20701401840023,0.0411993591210802
-0.129289717640958,-0.148308960943774,0.290266087285831,0.245993409647177,0.00305180437933927
-0.127880884803712,-0.129289717640958,0.337316868255479,0.290266087285831,0.0280766002899213
-0.114919622701052,-0.127880884803712,0.38436238353594,0.337316868255479,0.00457770656900891
-0.112806373445183,-0.114919622701052,0.42852233186935,0.38436238353594,0.0198367284657053
-0.103648960003086,-0.112806373445183,0.467001194363198,0.42852233186935,0.050049591821165
-0.0805441014722567,-0.103648960003086,0.497268413182846,0.467001194363198,0.0219729915312428
-0.0704005050440878,-0.0805441014722567,0.517225192590727,0.497268413182846,0.0305180437933927
-0.0563121766716309,-0.0704005050440878,0.525346927553076,0.517225192590727,0.025024795910582
-0.0447597474062163,-0.0563121766716309,0.520791712585131,0.525346927553076,-0.00183108262760356
-0.0456050471085638,-0.0447597474062163,0.503467331909718,0.520791712585131,0.046387426565957
-0.0241907879824294,-0.0456050471085638,0.474051482083285,0.503467331909718,0.0769054703593497
0.0113117995161618,-0.0241907879824294,0.433962633351317,0.474051482083285,0.0250247959105829
0.0228642287815768,0.0113117995161618,0.385281799046491,0.433962633351317,0.0457770656900891
0.0439967213402621,0.0228642287815768,0.330628449003334,0.385281799046491,0.0137331197070267
0.0503364691078676,0.0439967213402621,0.272996753634102,0.330628449003334,0.0497444113832302
0.0733004443549723,0.0503364691078676,0.215561138798858,0.272996753634102,0.050354772259098
0.096546186169526,0.0733004443549723,0.161462603165451,0.215561138798858,0.0164797436484321
0.104153883490653,0.096546186169526,0.113589215508387,0.161462603165451,0.0234988937209124
0.115001896337444,0.104153883490653,0.0743654779606082,0.113589215508387,0.012512397955291
0.120778110970152,0.115001896337444,0.0455656321498825,0.0743654779606082,0.0766002899214167
0.156139815185019,0.120778110970152,0.0281653522288581,0.0455656321498825,-0.0234988937209124
0.145291802338227,0.156139815185019,0.0222445253961676,0.0281653522288581,0.0540169375143051
0.170228143557476,0.145291802338227,0.0269509629406803,0.0222445253961676,0.00244144350347142
0.171355209827272,0.170228143557476,0.0405310100376965,0.0269509629406803,-0.012512397955291
0.165578995194565,0.171355209827272,0.0604283361032718,0.0405310100376965,0.0564583810177766
0.19164240268361,0.165578995194565,0.0834469997616081,0.0604283361032718,0.00213626306553749
0.192628585669682,0.19164240268361,0.105969590935815,0.0834469997616081,-0.00244144350347142
0.191501519399885,0.192628585669682,0.124216311675516,0.105969590935815,0.0341802090485999
0.207280447177037,0.191501519399885,0.134526737477367,0.124216311675516,-0.0231937132829785
0.19657331761397,0.207280447177037,0.133643140727102,0.134526737477367,0.0149538414587624
0.203476598516474,0.19657331761397,0.11897301528506,0.133643140727102,0.025329976348516
0.215169911065613,0.203476598516474,0.0888090480728971,0.11897301528506,0.00488288700694284
0.217424043605206,0.215169911065613,0.0424873108149129,0.0888090480728971,-0.00488288700694284
0.215169911065613,0.217424043605206,-0.0195312172482294,0.0424873108149129,0.0271610589761195
0.2277085233171,0.215169911065613,-0.0956648299645466,-0.0195312172482294,0.00366216525520713
0.229399122721794,0.2277085233171,-0.183303098779796,-0.0956648299645466,-0.0112916762035553
0.224186441223985,0.229399122721794,-0.278981436177316,-0.183303098779796,-0.0146486610208285
0.217424043605206,0.224186441223985,-0.378625758560182,-0.278981436177316,0.00488288700694284
0.219678176144799,0.217424043605206,-0.477848460956015,-0.378625758560182,-0.0155642023346303
0.212493128674846,0.219678176144799,-0.572272074100237,-0.477848460956015,0.016784924086366
0.220241709279697,0.212493128674846,-0.657854118456706,-0.572272074100237,0.0158693827725642
0.227567640033375,0.220241709279697,-0.731186123777159,-0.657854118456706,-0.00854505226214997
0.223622908089087,0.227567640033375,-0.789741657255611,-0.731186123777159,-0.0131227588311589
0.217564926888931,0.223622908089087,-0.832052377249761,-0.789741657255611,0.029297322041657
0.231089722126489,0.217564926888931,-0.857797256664252,-0.832052377249761,-0.0366216525520713
0.214183728079541,0.231089722126489,-0.867797658320564,-0.857797256664252,0.00732433051041426
0.217564926888931,0.214183728079541,-0.86391920629563,-0.867797658320564,-0.0430304417486838
0.197700383883766,0.217564926888931,-0.848889615166596,-0.86391920629563,0.00885023270008389
